学生ID,年级,专业,订单ID,订单日期,商品类别,商品名称,商品单价,购买数量,订单金额,支付方式,是否使用优惠券,优惠金额,实付金额,收货地址,订单状态,评分,是否评价,下单时间
STU000821,大一,工商管理,ORD00000746,2025-01-24 19:57:43.076222,食品,食品82,13.25,5,66.25,校园卡,True,13.23,53.019999999999996,校区3学生宿舍,已完成,,False,2025-01-24 22:46:46.076222
STU000146,大二,计算机科学,ORD00000747,2025-03-31 19:57:43.076222,食品,食品20,45.5,3,136.5,银行卡,True,1.2,135.3,校外住址,已完成,2.0,True,2025-03-31 14:26:51.076222
STU000146,大二,计算机科学,ORD00000748,2025-02-24 19:57:43.076222,生活用品,生活用品29,198.28,3,594.84,银行卡,True,0.07,594.77,校区3学生宿舍,已完成,1.0,True,2025-02-24 23:50:04.076222
STU000948,大四,计算机科学,ORD00000749,2024-06-29 19:57:43.076222,图书,图书72,125.52,4,502.08,校园卡,False,0.0,502.08,校区3学生宿舍,已取消,,False,2024-06-29 23:16:36.076222
STU000948,大四,计算机科学,ORD00000750,2025-04-08 19:57:43.076222,图书,图书56,88.47,3,265.41,银行卡,False,0.0,265.41,校区2学生宿舍,已取消,,False,2025-04-08 15:52:01.076222
STU000337,大三,工商管理,ORD00000751,2024-12-13 19:57:43.076222,学习用品,学习用品60,18.52,5,92.6,微信支付,False,0.0,92.6,校区2学生宿舍,已完成,5.0,True,2024-12-13 15:56:15.076222
STU000337,大三,工商管理,ORD00000752,2024-07-09 19:57:43.076222,图书,图书39,85.76,5,428.8,支付宝,False,0.0,428.8,校外住址,处理中,,False,2024-07-09 21:36:21.076222
STU000337,大三,工商管理,ORD00000753,2024-09-21 19:57:43.076222,电子产品,电子产品61,2457.75,5,12288.75,支付宝,True,1904.67,10384.08,校外住址,已完成,,False,2024-09-21 21:09:26.076222
STU000961,大三,计算机科学,ORD00000754,2024-10-24 19:57:43.076222,电子产品,电子产品79,4407.62,4,17630.48,微信支付,False,0.0,17630.48,校外住址,已完成,4.0,True,2024-10-24 15:18:15.076222
STU000961,大三,计算机科学,ORD00000755,2024-11-08 19:57:43.076222,电子产品,电子产品55,1703.0,5,8515.0,银行卡,False,0.0,8515.0,校区1学生宿舍,已完成,1.0,True,2024-11-08 08:09:34.076222
STU000961,大三,计算机科学,ORD00000756,2024-07-06 19:57:43.076222,运动器材,运动器材12,496.33,2,992.66,支付宝,True,93.55,899.11,校区3学生宿舍,已完成,3.0,True,2024-07-06 19:42:36.076222
STU000915,大三,市场营销,ORD00000757,2024-07-10 19:57:43.076222,学习用品,学习用品38,8.71,5,43.55,支付宝,True,5.35,38.199999999999996,校外住址,已完成,4.0,True,2024-07-10 11:17:37.076222
STU000915,大三,市场营销,ORD00000758,2025-03-29 19:57:43.076222,服装,服装44,47.53,2,95.06,微信支付,False,0.0,95.06,校区2学生宿舍,已完成,4.0,True,2025-03-29 17:02:25.076222
STU000830,大四,市场营销,ORD00000759,2025-02-04 19:57:43.076222,服装,服装20,206.44,3,619.32,微信支付,False,0.0,619.32,校区3学生宿舍,已完成,3.0,True,2025-02-04 14:15:29.076222
STU000830,大四,市场营销,ORD00000760,2024-06-07 19:57:43.076222,学习用品,学习用品89,31.45,1,31.45,校园卡,True,0.93,30.52,校区1学生宿舍,已完成,2.0,True,2024-06-07 17:49:21.076222
STU000830,大四,市场营销,ORD00000761,2025-03-12 19:57:43.076222,电子产品,电子产品84,2233.14,4,8932.56,支付宝,True,1661.23,7271.33,校区3学生宿舍,处理中,,False,2025-03-12 14:57:30.076222
STU000830,大四,市场营销,ORD00000762,2024-11-22 19:57:43.076222,电子产品,电子产品51,1038.29,4,4153.16,校园卡,True,40.63,4112.53,校区2学生宿舍,已完成,,False,2024-11-22 23:29:42.076222
STU000137,大三,物流管理,ORD00000763,2025-05-17 19:57:43.076222,食品,食品43,96.23,3,288.69,微信支付,True,0.43,288.26,校外住址,已完成,,False,2025-05-17 10:31:56.076222
STU000137,大三,物流管理,ORD00000764,2024-06-10 19:57:43.076222,电子产品,电子产品81,2612.64,2,5225.28,校园卡,False,0.0,5225.28,校外住址,已完成,2.0,True,2024-06-10 09:49:00.076222
STU000137,大三,物流管理,ORD00000765,2025-05-19 19:57:43.076222,服装,服装88,130.72,5,653.6,校园卡,True,13.67,639.9300000000001,校区2学生宿舍,已取消,,False,2025-05-19 14:09:21.076222
STU000137,大三,物流管理,ORD00000766,2025-02-15 19:57:43.076222,食品,食品71,99.43,5,497.15,校园卡,True,43.25,453.9,校区1学生宿舍,处理中,,False,2025-02-15 22:46:37.076222
STU000774,大四,计算机科学,ORD00000767,2024-10-12 19:57:43.076222,服装,服装29,139.98,1,139.98,银行卡,True,13.28,126.69999999999999,校区2学生宿舍,已完成,,False,2024-10-12 18:53:37.076222
STU000774,大四,计算机科学,ORD00000768,2024-10-02 19:57:43.076222,服装,服装58,250.52,1,250.52,微信支付,False,0.0,250.52,校区1学生宿舍,已完成,,False,2024-10-02 15:02:14.076222
STU000774,大四,计算机科学,ORD00000769,2024-12-09 19:57:43.076222,学习用品,学习用品85,7.15,4,28.6,支付宝,True,4.59,24.01,校区1学生宿舍,已完成,,False,2024-12-09 17:49:38.076222
STU000774,大四,计算机科学,ORD00000770,2025-01-29 19:57:43.076222,生活用品,生活用品26,116.14,2,232.28,支付宝,False,0.0,232.28,校区3学生宿舍,已完成,4.0,True,2025-01-29 13:34:41.076222
STU000774,大四,计算机科学,ORD00000771,2025-05-05 19:57:43.076222,食品,食品86,39.59,1,39.59,校园卡,True,7.5,32.09,校区3学生宿舍,已完成,2.0,True,2025-05-05 13:42:18.076222
STU000166,大四,电子商务,ORD00000772,2024-08-11 19:57:43.076222,服装,服装1,236.58,1,236.58,微信支付,False,0.0,236.58,校区2学生宿舍,已完成,1.0,True,2024-08-11 11:54:59.076222
STU000166,大四,电子商务,ORD00000773,2024-06-22 19:57:43.076222,运动器材,运动器材79,484.31,3,1452.93,校园卡,True,222.27,1230.66,校外住址,已完成,5.0,True,2024-06-22 11:30:42.076222
STU000166,大四,电子商务,ORD00000774,2024-07-01 19:57:43.076222,服装,服装19,125.37,1,125.37,校园卡,False,0.0,125.37,校区1学生宿舍,已完成,,False,2024-07-01 10:04:10.076222
STU000166,大四,电子商务,ORD00000775,2024-08-10 19:57:43.076222,生活用品,生活用品66,54.95,5,274.75,银行卡,False,0.0,274.75,校外住址,已完成,,False,2024-08-10 21:06:51.076222
STU000172,大二,数据科学,ORD00000776,2025-04-11 19:57:43.076222,食品,食品59,77.3,5,386.5,银行卡,True,75.46,311.04,校区2学生宿舍,处理中,,False,2025-04-11 23:35:49.076222
STU000172,大二,数据科学,ORD00000777,2024-10-31 19:57:43.076222,图书,图书48,45.88,3,137.64,校园卡,True,1.0,136.64,校区3学生宿舍,已完成,5.0,True,2024-10-31 08:42:59.076222
STU000768,大一,市场营销,ORD00000778,2025-01-12 19:57:43.076222,学习用品,学习用品5,42.94,2,85.88,校园卡,True,10.18,75.69999999999999,校区3学生宿舍,已完成,,False,2025-01-12 11:39:51.076222
STU000768,大一,市场营销,ORD00000779,2024-09-22 19:57:43.076222,服装,服装49,251.98,5,1259.9,微信支付,False,0.0,1259.9,校区3学生宿舍,已完成,1.0,True,2024-09-22 12:44:16.076222
STU000768,大一,市场营销,ORD00000780,2024-10-10 19:57:43.076222,服装,服装4,294.95,4,1179.8,校园卡,False,0.0,1179.8,校区3学生宿舍,已完成,,False,2024-10-10 17:26:01.076222
STU000768,大一,市场营销,ORD00000781,2024-11-03 19:57:43.076222,电子产品,电子产品24,4360.57,1,4360.57,微信支付,True,316.17,4044.3999999999996,校区3学生宿舍,已完成,,False,2024-11-03 18:56:07.076222
STU000820,大一,电子商务,ORD00000782,2024-06-14 19:57:43.076222,服装,服装52,257.2,3,771.6,支付宝,True,125.24,646.36,校区3学生宿舍,已取消,,False,2024-06-14 17:06:57.076222
STU000820,大一,电子商务,ORD00000783,2024-10-26 19:57:43.076222,食品,食品76,69.21,1,69.21,支付宝,False,0.0,69.21,校区1学生宿舍,处理中,,False,2024-10-26 12:04:06.076222
STU000820,大一,电子商务,ORD00000784,2024-07-13 19:57:43.076222,食品,食品22,52.23,1,52.23,微信支付,False,0.0,52.23,校区2学生宿舍,已完成,3.0,True,2024-07-13 15:05:21.076222
STU000820,大一,电子商务,ORD00000785,2025-04-17 19:57:43.076222,生活用品,生活用品88,133.55,1,133.55,微信支付,True,12.56,120.99000000000001,校区2学生宿舍,处理中,,False,2025-04-17 13:47:52.076222
STU000820,大一,电子商务,ORD00000786,2024-12-14 19:57:43.076222,学习用品,学习用品68,44.38,5,221.9,校园卡,True,21.86,200.04000000000002,校区2学生宿舍,已完成,4.0,True,2024-12-14 20:12:52.076222
STU000140,大四,数据科学,ORD00000787,2024-12-16 19:57:43.076222,生活用品,生活用品25,68.48,3,205.44,校园卡,True,29.05,176.39,校区1学生宿舍,已完成,,False,2024-12-16 11:25:37.076222
STU000140,大四,数据科学,ORD00000788,2025-05-08 19:57:43.076222,电子产品,电子产品94,1003.35,5,5016.75,支付宝,True,970.41,4046.34,校区2学生宿舍,已完成,1.0,True,2025-05-08 15:47:02.076222
STU000140,大四,数据科学,ORD00000789,2025-05-05 19:57:43.076222,食品,食品44,96.87,2,193.74,微信支付,False,0.0,193.74,校区1学生宿舍,已完成,2.0,True,2025-05-05 08:26:06.076222
STU000148,大二,物流管理,ORD00000790,2025-04-16 19:57:43.076222,运动器材,运动器材82,440.96,1,440.96,微信支付,False,0.0,440.96,校区3学生宿舍,已完成,,False,2025-04-16 22:42:12.076222
STU000148,大二,物流管理,ORD00000791,2024-09-02 19:57:43.076222,食品,食品60,26.92,3,80.76,微信支付,True,7.91,72.85000000000001,校区1学生宿舍,已完成,,False,2024-09-02 16:00:27.076222
STU000148,大二,物流管理,ORD00000792,2024-06-20 19:57:43.076222,运动器材,运动器材36,386.75,1,386.75,微信支付,False,0.0,386.75,校区1学生宿舍,已完成,,False,2024-06-20 17:09:18.076222
STU000148,大二,物流管理,ORD00000793,2024-12-24 19:57:43.076222,运动器材,运动器材36,262.96,1,262.96,银行卡,True,30.84,232.11999999999998,校区2学生宿舍,已完成,,False,2024-12-24 22:12:44.076222
STU000277,大二,工商管理,ORD00000794,2024-09-09 19:57:43.076222,食品,食品48,11.54,2,23.08,校园卡,True,2.98,20.099999999999998,校区2学生宿舍,已完成,5.0,True,2024-09-09 11:17:46.076222
STU000277,大二,工商管理,ORD00000795,2025-05-08 19:57:43.076222,学习用品,学习用品14,43.79,3,131.37,微信支付,False,0.0,131.37,校外住址,处理中,,False,2025-05-08 08:04:36.076222
STU000277,大二,工商管理,ORD00000796,2024-10-11 19:57:43.076222,服装,服装99,234.59,2,469.18,银行卡,True,58.88,410.3,校区1学生宿舍,已取消,,False,2024-10-11 12:01:20.076222
STU000277,大二,工商管理,ORD00000797,2025-03-06 19:57:43.076222,服装,服装81,159.88,1,159.88,银行卡,True,3.47,156.41,校区3学生宿舍,已完成,,False,2025-03-06 16:37:12.076222
STU000579,大三,计算机科学,ORD00000798,2024-11-30 19:57:43.076222,食品,食品64,27.66,5,138.3,微信支付,True,8.98,129.32000000000002,校外住址,已完成,,False,2024-11-30 15:34:21.076222
STU000579,大三,计算机科学,ORD00000799,2024-12-26 19:57:43.076222,生活用品,生活用品69,144.15,1,144.15,支付宝,True,16.29,127.86000000000001,校区1学生宿舍,已完成,4.0,True,2024-12-26 14:29:26.076222
STU000579,大三,计算机科学,ORD00000800,2024-07-11 19:57:43.076222,图书,图书76,77.37,5,386.85,银行卡,True,17.08,369.77000000000004,校区1学生宿舍,已完成,3.0,True,2024-07-11 09:16:00.076222
STU000579,大三,计算机科学,ORD00000801,2024-07-20 19:57:43.076222,服装,服装89,270.25,5,1351.25,校园卡,True,25.26,1325.99,校区3学生宿舍,已完成,1.0,True,2024-07-20 15:02:30.076222
STU000579,大三,计算机科学,ORD00000802,2025-02-21 19:57:43.076222,电子产品,电子产品75,4638.52,1,4638.52,微信支付,False,0.0,4638.52,校区3学生宿舍,已完成,,False,2025-02-21 11:05:32.076222
STU000285,大一,工商管理,ORD00000803,2025-05-11 19:57:43.076222,服装,服装30,233.4,3,700.2,支付宝,True,3.77,696.4300000000001,校区2学生宿舍,已完成,3.0,True,2025-05-11 13:52:10.076222
STU000285,大一,工商管理,ORD00000804,2024-08-19 19:57:43.076222,电子产品,电子产品93,1068.46,2,2136.92,微信支付,False,0.0,2136.92,校区2学生宿舍,已完成,4.0,True,2024-08-19 12:02:07.076222
STU000285,大一,工商管理,ORD00000805,2024-11-23 19:57:43.076222,图书,图书48,128.52,3,385.56,支付宝,False,0.0,385.56,校外住址,已完成,2.0,True,2024-11-23 20:00:10.076222
STU000285,大一,工商管理,ORD00000806,2025-02-16 19:57:43.076222,电子产品,电子产品22,631.77,4,2527.08,校园卡,True,107.04,2420.04,校区1学生宿舍,已完成,,False,2025-02-16 21:14:44.076222
STU000285,大一,工商管理,ORD00000807,2025-02-10 19:57:43.076222,图书,图书79,134.9,5,674.5,银行卡,False,0.0,674.5,校区2学生宿舍,已完成,5.0,True,2025-02-10 22:27:11.076222
STU000324,大三,数据科学,ORD00000808,2024-09-06 19:57:43.076222,图书,图书17,45.52,1,45.52,支付宝,False,0.0,45.52,校区1学生宿舍,已完成,,False,2024-09-06 11:50:44.076222
STU000324,大三,数据科学,ORD00000809,2024-09-14 19:57:43.076222,图书,图书31,143.44,5,717.2,支付宝,True,80.34,636.86,校区2学生宿舍,已完成,1.0,True,2024-09-14 15:51:08.076222
STU000324,大三,数据科学,ORD00000810,2025-02-04 19:57:43.076222,运动器材,运动器材12,294.65,5,1473.25,校园卡,True,71.16,1402.09,校区1学生宿舍,已取消,,False,2025-02-04 18:33:34.076222
STU000341,大二,信息管理,ORD00000811,2024-08-19 19:57:43.076222,学习用品,学习用品93,27.07,4,108.28,支付宝,True,3.03,105.25,校区2学生宿舍,已完成,5.0,True,2024-08-19 22:04:27.076222
STU000341,大二,信息管理,ORD00000812,2024-10-31 19:57:43.076222,食品,食品93,71.32,2,142.64,支付宝,False,0.0,142.64,校区1学生宿舍,已完成,1.0,True,2024-10-31 08:55:51.076222
STU000341,大二,信息管理,ORD00000813,2024-07-01 19:57:43.076222,服装,服装69,234.54,2,469.08,校园卡,True,7.75,461.33,校区1学生宿舍,已完成,,False,2024-07-01 22:50:57.076222
STU000807,大一,物流管理,ORD00000814,2024-08-04 19:57:43.076222,服装,服装11,132.34,3,397.02,微信支付,True,63.1,333.91999999999996,校区3学生宿舍,已取消,,False,2024-08-04 17:16:10.076222
STU000685,大四,市场营销,ORD00000815,2025-01-26 19:57:43.076222,生活用品,生活用品6,47.1,1,47.1,银行卡,False,0.0,47.1,校区1学生宿舍,已取消,,False,2025-01-26 18:24:30.076222
STU000685,大四,市场营销,ORD00000816,2025-01-14 19:57:43.076222,学习用品,学习用品93,31.96,1,31.96,校园卡,True,4.23,27.73,校区3学生宿舍,已完成,,False,2025-01-14 18:05:23.076222
STU000685,大四,市场营销,ORD00000817,2025-02-15 19:57:43.076222,电子产品,电子产品7,1950.83,4,7803.32,校园卡,True,368.01,7435.3099999999995,校区2学生宿舍,已完成,,False,2025-02-15 18:23:42.076222
STU000685,大四,市场营销,ORD00000818,2024-10-25 19:57:43.076222,运动器材,运动器材7,403.31,2,806.62,银行卡,False,0.0,806.62,校区1学生宿舍,处理中,,False,2024-10-25 09:40:30.076222
STU000685,大四,市场营销,ORD00000819,2024-09-03 19:57:43.076222,电子产品,电子产品100,3050.3,4,12201.2,微信支付,False,0.0,12201.2,校区3学生宿舍,已取消,,False,2024-09-03 08:49:39.076222
STU000067,大一,市场营销,ORD00000820,2024-06-13 19:57:43.076222,学习用品,学习用品34,16.38,4,65.52,微信支付,True,11.67,53.849999999999994,校区1学生宿舍,已取消,,False,2024-06-13 16:40:46.076222
STU000067,大一,市场营销,ORD00000821,2025-02-24 19:57:43.076222,食品,食品20,89.24,4,356.96,支付宝,True,36.81,320.15,校区1学生宿舍,已完成,5.0,True,2025-02-24 20:17:15.076222
STU000714,大四,数据科学,ORD00000822,2025-05-02 19:57:43.076222,服装,服装54,170.87,2,341.74,微信支付,False,0.0,341.74,校区2学生宿舍,已完成,,False,2025-05-02 08:15:56.076222
STU000714,大四,数据科学,ORD00000823,2024-11-24 19:57:43.076222,图书,图书50,76.02,5,380.1,微信支付,True,23.53,356.57000000000005,校区1学生宿舍,已完成,4.0,True,2024-11-24 20:18:40.076222
STU000969,大三,信息管理,ORD00000824,2024-10-15 19:57:43.076222,运动器材,运动器材94,133.97,1,133.97,支付宝,True,19.32,114.65,校区2学生宿舍,已完成,,False,2024-10-15 17:12:55.076222
STU000969,大三,信息管理,ORD00000825,2025-04-27 19:57:43.076222,学习用品,学习用品48,21.98,4,87.92,微信支付,False,0.0,87.92,校区1学生宿舍,已完成,,False,2025-04-27 15:46:06.076222
STU000969,大三,信息管理,ORD00000826,2025-02-28 19:57:43.076222,图书,图书88,87.44,5,437.2,支付宝,False,0.0,437.2,校区1学生宿舍,已完成,4.0,True,2025-02-28 18:02:18.076222
STU000245,大二,电子商务,ORD00000827,2024-09-03 19:57:43.076222,运动器材,运动器材29,137.45,3,412.35,微信支付,False,0.0,412.35,校区3学生宿舍,已取消,,False,2024-09-03 11:25:46.076222
STU000245,大二,电子商务,ORD00000828,2024-07-11 19:57:43.076222,学习用品,学习用品78,37.01,1,37.01,微信支付,False,0.0,37.01,校外住址,已取消,,False,2024-07-11 11:34:03.076222
STU000245,大二,电子商务,ORD00000829,2024-09-20 19:57:43.076222,生活用品,生活用品53,133.56,1,133.56,支付宝,True,13.16,120.4,校区3学生宿舍,已完成,,False,2024-09-20 15:02:56.076222
STU000980,大一,信息管理,ORD00000830,2025-03-29 19:57:43.076222,运动器材,运动器材24,273.5,5,1367.5,微信支付,False,0.0,1367.5,校外住址,已完成,4.0,True,2025-03-29 08:00:58.076222
STU000831,大一,数据科学,ORD00000831,2024-07-13 19:57:43.076222,服装,服装43,60.24,4,240.96,银行卡,True,40.37,200.59,校区1学生宿舍,已取消,,False,2024-07-13 15:44:24.076222
STU000271,大三,信息管理,ORD00000832,2025-03-21 19:57:43.076222,学习用品,学习用品10,46.25,4,185.0,校园卡,True,14.5,170.5,校区3学生宿舍,已取消,,False,2025-03-21 12:56:03.076222
STU000271,大三,信息管理,ORD00000833,2025-03-25 19:57:43.076222,学习用品,学习用品62,44.19,1,44.19,校园卡,False,0.0,44.19,校区2学生宿舍,已完成,,False,2025-03-25 15:25:33.076222
STU000271,大三,信息管理,ORD00000834,2024-06-02 19:57:43.076222,生活用品,生活用品58,156.17,2,312.34,校园卡,False,0.0,312.34,校区2学生宿舍,已完成,2.0,True,2024-06-02 12:04:15.076222
STU000271,大三,信息管理,ORD00000835,2024-11-07 19:57:43.076222,服装,服装47,50.72,4,202.88,支付宝,False,0.0,202.88,校区2学生宿舍,已完成,,False,2024-11-07 21:47:02.076222
STU000244,大四,工商管理,ORD00000836,2024-12-25 19:57:43.076222,食品,食品8,56.74,1,56.74,微信支付,True,1.32,55.42,校区1学生宿舍,已完成,,False,2024-12-25 09:12:55.076222
STU000244,大四,工商管理,ORD00000837,2024-11-20 19:57:43.076222,食品,食品96,89.61,4,358.44,微信支付,True,58.65,299.79,校区2学生宿舍,已完成,,False,2024-11-20 22:04:20.076222
STU000244,大四,工商管理,ORD00000838,2024-07-10 19:57:43.076222,电子产品,电子产品63,1344.73,2,2689.46,银行卡,False,0.0,2689.46,校区2学生宿舍,已完成,4.0,True,2024-07-10 21:36:06.076222
STU000782,大二,数据科学,ORD00000839,2024-09-04 19:57:43.076222,生活用品,生活用品31,72.27,3,216.81,银行卡,True,5.02,211.79,校外住址,已完成,5.0,True,2024-09-04 14:21:19.076222
STU000782,大二,数据科学,ORD00000840,2025-04-26 19:57:43.076222,生活用品,生活用品86,44.57,5,222.85,校园卡,True,9.45,213.4,校区3学生宿舍,处理中,,False,2025-04-26 11:03:06.076222
STU000782,大二,数据科学,ORD00000841,2025-01-06 19:57:43.076222,图书,图书24,98.74,1,98.74,支付宝,True,10.02,88.72,校区1学生宿舍,已取消,,False,2025-01-06 17:18:36.076222
STU000782,大二,数据科学,ORD00000842,2025-01-06 19:57:43.076222,服装,服装85,247.98,5,1239.9,校园卡,False,0.0,1239.9,校外住址,已取消,,False,2025-01-06 20:55:49.076222
STU000658,大四,计算机科学,ORD00000843,2025-02-11 19:57:43.076222,服装,服装73,174.52,2,349.04,支付宝,False,0.0,349.04,校外住址,已取消,,False,2025-02-11 15:09:21.076222
STU000658,大四,计算机科学,ORD00000844,2024-10-17 19:57:43.076222,学习用品,学习用品100,44.93,5,224.65,银行卡,True,42.83,181.82,校区2学生宿舍,已完成,2.0,True,2024-10-17 17:49:09.076222
STU000658,大四,计算机科学,ORD00000845,2024-12-12 19:57:43.076222,生活用品,生活用品82,192.91,5,964.55,支付宝,True,78.67,885.88,校区1学生宿舍,处理中,,False,2024-12-12 23:09:25.076222
STU000658,大四,计算机科学,ORD00000846,2025-01-09 19:57:43.076222,运动器材,运动器材85,487.55,4,1950.2,校园卡,True,250.38,1699.8200000000002,校区2学生宿舍,已完成,3.0,True,2025-01-09 15:20:42.076222
STU000658,大四,计算机科学,ORD00000847,2025-04-17 19:57:43.076222,电子产品,电子产品89,778.76,5,3893.8,银行卡,True,651.02,3242.78,校外住址,已完成,3.0,True,2025-04-17 11:09:57.076222
STU000031,大二,工商管理,ORD00000848,2025-03-18 19:57:43.076222,运动器材,运动器材81,295.03,3,885.09,支付宝,True,76.85,808.24,校外住址,已完成,5.0,True,2025-03-18 20:22:26.076222
STU000031,大二,工商管理,ORD00000849,2024-09-07 19:57:43.076222,学习用品,学习用品16,26.69,5,133.45,校园卡,False,0.0,133.45,校区3学生宿舍,已完成,2.0,True,2024-09-07 18:59:48.076222
STU000031,大二,工商管理,ORD00000850,2024-08-26 19:57:43.076222,运动器材,运动器材62,229.4,3,688.2,微信支付,True,33.12,655.08,校区1学生宿舍,已完成,,False,2024-08-26 08:53:10.076222
STU000007,大四,数据科学,ORD00000851,2024-12-06 19:57:43.076222,食品,食品43,99.86,1,99.86,支付宝,True,16.65,83.21000000000001,校区1学生宿舍,已完成,1.0,True,2024-12-06 14:52:39.076222
STU000969,大一,工商管理,ORD00000852,2025-02-14 19:57:43.076222,学习用品,学习用品53,34.17,5,170.85,微信支付,True,10.01,160.84,校区1学生宿舍,已取消,,False,2025-02-14 18:03:29.076222
STU000201,大四,物流管理,ORD00000853,2024-12-16 19:57:43.076222,图书,图书57,26.54,2,53.08,银行卡,False,0.0,53.08,校区3学生宿舍,已完成,,False,2024-12-16 08:57:31.076222
STU000201,大四,物流管理,ORD00000854,2025-03-22 19:57:43.076222,服装,服装45,73.82,4,295.28,支付宝,False,0.0,295.28,校外住址,已完成,,False,2025-03-22 12:38:08.076222
STU000201,大四,物流管理,ORD00000855,2025-02-28 19:57:43.076222,运动器材,运动器材21,385.64,1,385.64,支付宝,False,0.0,385.64,校外住址,处理中,,False,2025-02-28 20:59:03.076222
STU000201,大四,物流管理,ORD00000856,2024-10-01 19:57:43.076222,学习用品,学习用品17,47.15,4,188.6,校园卡,False,0.0,188.6,校区2学生宿舍,已完成,2.0,True,2024-10-01 22:14:05.076222
STU000201,大四,物流管理,ORD00000857,2024-11-19 19:57:43.076222,图书,图书22,46.34,2,92.68,支付宝,False,0.0,92.68,校区1学生宿舍,已完成,,False,2024-11-19 22:00:13.076222
STU000618,大二,计算机科学,ORD00000858,2024-11-30 19:57:43.076222,学习用品,学习用品70,38.77,2,77.54,校园卡,True,12.8,64.74000000000001,校区3学生宿舍,处理中,,False,2024-11-30 12:29:31.076222
STU000125,大二,电子商务,ORD00000859,2025-01-04 19:57:43.076222,学习用品,学习用品42,18.35,5,91.75,支付宝,False,0.0,91.75,校区1学生宿舍,已取消,,False,2025-01-04 13:55:37.076222
STU000125,大二,电子商务,ORD00000860,2024-07-31 19:57:43.076222,运动器材,运动器材58,182.31,4,729.24,微信支付,True,141.92,587.32,校区3学生宿舍,已完成,,False,2024-07-31 17:03:15.076222
STU000125,大二,电子商务,ORD00000861,2025-05-04 19:57:43.076222,服装,服装21,137.56,1,137.56,支付宝,True,25.52,112.04,校区2学生宿舍,已完成,,False,2025-05-04 13:04:00.076222
STU000125,大二,电子商务,ORD00000862,2025-01-26 19:57:43.076222,运动器材,运动器材44,291.31,5,1456.55,银行卡,True,29.81,1426.74,校外住址,已完成,,False,2025-01-26 13:36:34.076222
STU000449,大二,信息管理,ORD00000863,2024-12-24 19:57:43.076222,运动器材,运动器材44,443.63,2,887.26,微信支付,True,155.56,731.7,校区2学生宿舍,已取消,,False,2024-12-24 18:26:01.076222
STU000449,大二,信息管理,ORD00000864,2025-03-09 19:57:43.076222,运动器材,运动器材16,481.9,4,1927.6,银行卡,True,189.99,1737.61,校外住址,处理中,,False,2025-03-09 20:43:59.076222
STU000449,大二,信息管理,ORD00000865,2025-01-19 19:57:43.076222,图书,图书1,72.35,1,72.35,银行卡,False,0.0,72.35,校区2学生宿舍,已完成,,False,2025-01-19 08:23:48.076222
STU000449,大二,信息管理,ORD00000866,2025-02-20 19:57:43.076222,电子产品,电子产品12,3328.66,1,3328.66,银行卡,True,120.13,3208.5299999999997,校区3学生宿舍,处理中,,False,2025-02-20 18:43:10.076222
STU000449,大二,信息管理,ORD00000867,2025-05-02 19:57:43.076222,运动器材,运动器材52,56.67,3,170.01,微信支付,False,0.0,170.01,校外住址,已取消,,False,2025-05-02 11:43:16.076222
STU000536,大二,计算机科学,ORD00000868,2025-03-08 19:57:43.076222,电子产品,电子产品80,2882.55,3,8647.65,校园卡,False,0.0,8647.65,校区1学生宿舍,已取消,,False,2025-03-08 16:15:27.076222
STU000889,大一,电子商务,ORD00000869,2024-07-23 19:57:43.076222,学习用品,学习用品83,40.93,3,122.79,微信支付,True,16.27,106.52000000000001,校外住址,已取消,,False,2024-07-23 16:32:18.076222
STU000889,大一,电子商务,ORD00000870,2024-10-19 19:57:43.076222,生活用品,生活用品5,172.3,3,516.9,银行卡,True,66.91,449.99,校外住址,已完成,,False,2024-10-19 22:51:48.076222
STU000889,大一,电子商务,ORD00000871,2024-07-05 19:57:43.076222,服装,服装85,93.53,2,187.06,微信支付,False,0.0,187.06,校外住址,已完成,,False,2024-07-05 14:34:49.076222
STU000889,大一,电子商务,ORD00000872,2024-06-02 19:57:43.076222,生活用品,生活用品20,69.48,4,277.92,银行卡,True,53.56,224.36,校外住址,已完成,,False,2024-06-02 23:24:34.076222
STU000889,大一,电子商务,ORD00000873,2025-02-02 19:57:43.076222,食品,食品83,85.33,2,170.66,校园卡,True,10.93,159.73,校区2学生宿舍,已取消,,False,2025-02-02 23:47:02.076222
STU000001,大四,物流管理,ORD00000874,2024-08-23 19:57:43.076222,图书,图书43,67.93,2,135.86,银行卡,False,0.0,135.86,校外住址,已完成,,False,2024-08-23 20:46:39.076222
STU000001,大四,物流管理,ORD00000875,2025-03-07 19:57:43.076222,学习用品,学习用品35,35.29,1,35.29,校园卡,True,1.97,33.32,校区2学生宿舍,已取消,,False,2025-03-07 18:54:23.076222
STU000001,大四,物流管理,ORD00000876,2024-08-21 19:57:43.076222,生活用品,生活用品82,102.92,4,411.68,微信支付,False,0.0,411.68,校区3学生宿舍,已完成,3.0,True,2024-08-21 13:40:15.076222
STU000001,大四,物流管理,ORD00000877,2025-05-04 19:57:43.076222,生活用品,生活用品34,172.41,5,862.05,支付宝,False,0.0,862.05,校区1学生宿舍,已完成,5.0,True,2025-05-04 18:25:10.076222
